Access_Time Critial_read_Latency  Transactional_read_Latency  Transactional_write_latency
0 				12						12							12
1 				24                      24                          24
2 				34                      34                          34
3 				1000                    1000                        1000
4 				3000                    3000                        3000
5 				8000                    8000                        8000
6 				10000                   10000                       10000
7 				50000                   50000                       50000
8 				120000                  120000                      120000
9 				500000                  500000                      500000
10				 1000000                 1000000                     1000000
